Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,cutivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time,Treatment
SRR12097035,RNA-Seq,50,497073500,PRJNA642101,SAMN15376938,203739073,GEO,public,Micro-Tom,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622475,Wild-type,GSM4641282,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641282,Shoots,SRP269007,T24h,Mock
SRR12097036,RNA-Seq,50,477565700,PRJNA642101,SAMN15376936,196364716,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622476,Wild-type,GSM4641283,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641283,Shoots,SRP269007,T24h,Mock
SRR12097037,RNA-Seq,50,500342100,PRJNA642101,SAMN15376934,205193675,GEO,public,Micro-Tom,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622477,Wild-type,GSM4641284,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641284,Shoots,SRP269007,T24h,Mock
SRR12097038,RNA-Seq,50,656757600,PRJNA642101,SAMN15376932,268423384,GEO,public,Micro-Tom,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8622478,Wild-type,GSM4641285,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:48:00Z,1,GSM4641285,Shoots,SRP269007,T24h,Mock
SRR12097039,RNA-Seq,50,597549050,PRJNA642101,SAMN15376931,245141574,GEO,public,Micro-Tom,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8622479,Wild-type,GSM4641286,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:48:00Z,1,GSM4641286,Shoots,SRP269007,T24h,Mock
SRR12097040,RNA-Seq,50,284680450,PRJNA642101,SAMN15376929,117645973,GEO,public,Micro-Tom,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8622480,Wild-type,GSM4641287,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641287,Shoots,SRP269007,T24h,Infected
SRR12097041,RNA-Seq,50,103725050,PRJNA642101,SAMN15376927,51230884,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622481,Wild-type,GSM4641288,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641288,Shoots,SRP269007,T24h,Infected
SRR12097042,RNA-Seq,50,185507350,PRJNA642101,SAMN15376925,91017765,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622482,Wild-type,GSM4641289,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641289,Shoots,SRP269007,T24h,Infected
SRR12097043,RNA-Seq,50,125201800,PRJNA642101,SAMN15376923,61098176,GEO,public,Micro-Tom,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622483,Wild-type,GSM4641290,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641290,Shoots,SRP269007,T24h,Infected
SRR12097044,RNA-Seq,50,101766700,PRJNA642101,SAMN15376921,50080483,GEO,public,Micro-Tom,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8622484,Wild-type,GSM4641291,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641291,Shoots,SRP269007,T24h,Infected
SRR12097045,RNA-Seq,50,199077650,PRJNA642101,SAMN15376919,98373206,GEO,public,Micro-Tom,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8622485,Wild-type,GSM4641292,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641292,Shoots,SRP269007,T48h,Mock
SRR12097046,RNA-Seq,50,247196850,PRJNA642101,SAMN15376917,120933221,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8622486,Wild-type,GSM4641293,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641293,Shoots,SRP269007,T48h,Mock
SRR12097047,RNA-Seq,50,169916400,PRJNA642101,SAMN15376915,83996949,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622487,Wild-type,GSM4641294,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641294,Shoots,SRP269007,T48h,Mock
SRR12097048,RNA-Seq,50,324137150,PRJNA642101,SAMN15376975,158173163,GEO,public,Micro-Tom,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX8622488,Wild-type,GSM4641295,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641295,Shoots,SRP269007,T48h,Mock
SRR12097049,RNA-Seq,50,422045050,PRJNA642101,SAMN15376973,173186143,GEO,public,Micro-Tom,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622489,Wild-type,GSM4641296,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:48:00Z,1,GSM4641296,Shoots,SRP269007,T48h,Mock
SRR12097050,RNA-Seq,50,155954200,PRJNA642101,SAMN15376971,64656671,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8622490,Wild-type,GSM4641297,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:46:00Z,1,GSM4641297,Shoots,SRP269007,T48h,Infected
SRR12097051,RNA-Seq,50,305265450,PRJNA642101,SAMN15376970,125352479,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622491,Wild-type,GSM4641298,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641298,Shoots,SRP269007,T48h,Infected
SRR12097052,RNA-Seq,50,245221850,PRJNA642101,SAMN15376969,101215371,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622492,Wild-type,GSM4641299,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641299,Shoots,SRP269007,T48h,Infected
SRR12097053,RNA-Seq,50,232951750,PRJNA642101,SAMN15376968,96098718,GEO,public,Micro-Tom,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622493,Wild-type,GSM4641300,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T12:18:00Z,1,GSM4641300,Shoots,SRP269007,T48h,Infected
SRR12097054,RNA-Seq,50,300866250,PRJNA642101,SAMN15376967,123469524,GEO,public,Micro-Tom,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622494,Wild-type,GSM4641301,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641301,Shoots,SRP269007,T48h,Infected
SRR12097055,RNA-Seq,50,519169600,PRJNA642101,SAMN15376852,213178937,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX8622495,Wild-type,GSM4641302,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641302,Shoots,SRP269007,T5d,Mock
SRR12097056,RNA-Seq,50,550497800,PRJNA642101,SAMN15376849,225524068,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622496,Wild-type,GSM4641303,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:48:00Z,1,GSM4641303,Shoots,SRP269007,T5d,Mock
SRR12097057,RNA-Seq,50,340314000,PRJNA642101,SAMN15376848,139672136,GEO,public,Micro-Tom,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8622497,Wild-type,GSM4641304,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641304,Shoots,SRP269007,T5d,Mock
SRR12097058,RNA-Seq,50,386775950,PRJNA642101,SAMN15376846,158772913,GEO,public,Micro-Tom,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622498,Wild-type,GSM4641305,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641305,Shoots,SRP269007,T5d,Mock
SRR12097059,RNA-Seq,50,390243900,PRJNA642101,SAMN15376844,159587066,GEO,public,Micro-Tom,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622499,Wild-type,GSM4641306,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641306,Shoots,SRP269007,T5d,Mock
SRR12097060,RNA-Seq,50,318004000,PRJNA642101,SAMN15376843,130893636,GEO,public,Micro-Tom,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX8622500,Wild-type,GSM4641307,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641307,Shoots,SRP269007,T5d,Infected
SRR12097061,RNA-Seq,50,316411400,PRJNA642101,SAMN15376841,129933033,GEO,public,Micro-Tom,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622563,Wild-type,GSM4641308,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641308,Shoots,SRP269007,T5d,Infected
SRR12097062,RNA-Seq,50,361701450,PRJNA642101,SAMN15376839,148345875,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622564,Wild-type,GSM4641309,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641309,Shoots,SRP269007,T5d,Infected
SRR12097063,RNA-Seq,50,299199650,PRJNA642101,SAMN15376837,123226771,GEO,public,Micro-Tom,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622565,Wild-type,GSM4641310,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641310,Shoots,SRP269007,T5d,Infected
SRR12097064,RNA-Seq,50,223602800,PRJNA642101,SAMN15376836,92225524,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622566,Wild-type,GSM4641311,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641311,Shoots,SRP269007,T5d,Infected
SRR12097065,RNA-Seq,50,333487450,PRJNA642101,SAMN15376834,136634404,GEO,public,Micro-Tom,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8622567,Wild-type,GSM4641312,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641312,Shoots,SRP269007,T10d,Mock
SRR12097066,RNA-Seq,50,367155800,PRJNA642101,SAMN15376832,150504731,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8622568,Wild-type,GSM4641313,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641313,Shoots,SRP269007,T10d,Mock
SRR12097067,RNA-Seq,50,366901450,PRJNA642101,SAMN15376830,150177611,GEO,public,Micro-Tom,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8622569,Wild-type,GSM4641314,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641314,Shoots,SRP269007,T10d,Mock
SRR12097068,RNA-Seq,50,358046000,PRJNA642101,SAMN15376829,147157873,GEO,public,Micro-Tom,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8622570,Wild-type,GSM4641315,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641315,Shoots,SRP269007,T10d,Mock
SRR12097069,RNA-Seq,50,368809450,PRJNA642101,SAMN15376911,151355139,GEO,public,Micro-Tom,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8622571,Wild-type,GSM4641316,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641316,Shoots,SRP269007,T10d,Mock
SRR12097070,RNA-Seq,50,436217900,PRJNA642101,SAMN15376910,178561285,GEO,public,Micro-Tom,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8622572,Wild-type,GSM4641317,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641317,Shoots,SRP269007,T10d,Infected
SRR12097071,RNA-Seq,50,400120200,PRJNA642101,SAMN15376908,164536181,GEO,public,Micro-Tom,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8622573,Wild-type,GSM4641318,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641318,Shoots,SRP269007,T10d,Infected
SRR12097072,RNA-Seq,50,382681500,PRJNA642101,SAMN15376907,157093654,GEO,public,Micro-Tom,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622574,Wild-type,GSM4641319,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641319,Shoots,SRP269007,T10d,Infected
SRR12097073,RNA-Seq,50,415854800,PRJNA642101,SAMN15376905,170804183,GEO,public,Micro-Tom,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8622575,Wild-type,GSM4641320,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641320,Shoots,SRP269007,T10d,Infected
SRR12097074,RNA-Seq,50,418132350,PRJNA642101,SAMN15376903,171629501,GEO,public,Micro-Tom,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8622576,Wild-type,GSM4641321,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641321,Shoots,SRP269007,T10d,Infected
SRR12097075,RNA-Seq,50,318723100,PRJNA642101,SAMN15376881,130756272,GEO,public,Micro-Tom,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8622577,Wild-type,GSM4641322,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641322,Shoots,SRP269007,T20d,Mock
SRR12097076,RNA-Seq,50,401064150,PRJNA642101,SAMN15376878,164236486,GEO,public,Micro-Tom,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8622578,Wild-type,GSM4641323,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641323,Shoots,SRP269007,T20d,Mock
SRR12097077,RNA-Seq,50,401866300,PRJNA642101,SAMN15376876,164765945,GEO,public,Micro-Tom,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622579,Wild-type,GSM4641324,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641324,Shoots,SRP269007,T20d,Mock
SRR12097078,RNA-Seq,50,336924250,PRJNA642101,SAMN15376874,137913131,GEO,public,Micro-Tom,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8622580,Wild-type,GSM4641325,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641325,Shoots,SRP269007,T20d,Mock
SRR12097079,RNA-Seq,50,352219550,PRJNA642101,SAMN15376872,144823782,GEO,public,Micro-Tom,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8622581,Wild-type,GSM4641326,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641326,Shoots,SRP269007,T20d,Mock
SRR12097080,RNA-Seq,50,371393150,PRJNA642101,SAMN15376870,152689313,GEO,public,Micro-Tom,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8622582,Wild-type,GSM4641327,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641327,Shoots,SRP269007,T20d,Infected
SRR12097081,RNA-Seq,50,376740250,PRJNA642101,SAMN15376868,154919154,GEO,public,Micro-Tom,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8622583,Wild-type,GSM4641328,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641328,Shoots,SRP269007,T20d,Infected
SRR12097082,RNA-Seq,50,367677000,PRJNA642101,SAMN15376867,151140260,GEO,public,Micro-Tom,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8622584,Wild-type,GSM4641329,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum lycopersicum,ILLUMINA,2021-08-27T00:00:00Z,2020-06-26T11:47:00Z,1,GSM4641329,Shoots,SRP269007,T20d,Infected
